x
0 1
1 40 115
2 55 104
3 32 130
4 28 140
5 40 129
6 9 100
7 53 122
8 60 123
9 54 136
10 49 141
11 72 140
12 14 110
13 48 100
14 61 116
15 66 121
16 62 139
17 63 141
18 38 122
19 29 95
20 67 128
21 62 122
22 60 137
23 53 134
24 20 128
25 26 104
26 48 122
27 48 127
28 58 133
29 58 127
30 26 113
31 21 92
32 51 99
33 51 111
34 55 110
35 45 112
36 26 115
37 31 130
38 45 138
39 31 142
40 28 125
41 30 111
42 22 98
43 38 95
44 49 101
45 50 112
46 41 104
47 49 114
48 26 101
49 43 90
50 58 124
51 55 112
52 48 104
53 38 108
54 24 88
55 22 94
56 63 124
57 53 123
58 50 115
59 39 116
60 19 92
61 18 89
62 45 113
63 52 112
64 59 113
65 44 108
66 24 90
67 9 102
68 47 120
69 53 122
70 53 130
71 46 125
72 27 116
73 25 96
74 36 113
75 35 129
76 22 130
77 36 135
78 25 120
79 39 97
80 41 109
81 57 112
82 40 107
83 35 109
84 34 106
85 38 89
86 37 109
87 52 108
88 52 100
89 36 99
90 24 101
91 18 92
92 41 115
93 51 125
94 45 112
95 40 100
96 27 113
97 13 89
98 44 108
99 53 114
100 49 114
101 44 105
102 30 103
103 8 117
104 45 119
105 49 123
106 52 121
107 53 119
108 27 101
109 26 97
110 42 106
111 39 121
112 21 128
113 27 125
114 41 123
115 43 119
116 49 120
117 61 123
118 42 136
119 37 136
120 71 140
121 38 105
122 41 100
123 61 115
124 59 119
125 53 130
126 55 139
127 18 107
128 38 111
129 54 123
130 57 121
131 56 136
132 29 132
133 12 102
134 40 118
135 53 119
136 45 119
137 55 128
138 36 113
139 7 105
140 40 99
141 48 105
142 48 110
143 57 115
144 34 104
145 23 125
146 41 96
147 35 120
148 25 119
149 22 129
150 15 110
151 40 130
152 55 132
153 55 136
154 41 131
155 42 137
156 32 116
157 35 126
158 44 125
159 59 131
160 50 128
161 72 142
162 46 133
163 21 114
164 35 118
165 47 125
166 48 116
167 41 133
168 28 131
169 14 107
170 33 119
171 40 125
172 45 124
173 50 132
174 37 109
175 6 92
176 40 110
177 56 117
178 51 118
179 50 126
180 37 108
181 18 121
182 37 125
183 32 121
184 24 121
185 19 124
186 12 103
187 35 95
188 48 103
189 48 109
190 30 114
191 27 113
192 21 95
193 31 89
194 52 110
195 56 110
196 36 109
197 43 105
198 33 99
199 23 86
200 41 123
201 37 125
202 38 110
203 33 107
204 23 94
205 13 79
206 31 108
207 37 121
208 46 116
209 48 127
210 28 112
211 9 80
212 37 103
213 38 118
214 45 116
215 49 125
216 30 107
217 25 98
218 36 119
219 27 116
220 23 128
221 17 133
222 12 120
223 40 93
224 51 105
225 45 117
226 26 110
227 35 106
228 22 97
229 43 99
230 49 101
231 54 106
232 31 105
233 46 104
234 29 99
235 28 98
236 44 124
237 35 123
238 38 107
239 38 98
240 26 85
241 17 97
242 40 109
243 38 109
244 48 113
245 41 117
246 23 104
247 9 113
248 44 138
249 38 143
250 44 132
251 46 106
252 29 89
253 30 89
254 45 100
255 30 113
256 21 112
257 21 120
258 8 122
259 54 120
260 62 115
261 50 132
262 35 129
263 38 133
264 29 130
265 47 111
266 61 106
267 56 127
268 53 127
269 58 134
270 49 127
271 26 100
272 55 130
273 45 119
274 54 125
275 43 134
276 21 115
277 26 108
278 46 114
279 51 119
280 47 127
281 47 119
282 28 107
283 22 90
284 51 110
285 51 110
286 53 122
287 50 115
288 27 97
