x
0 1
1 0 136
2 21 131
3 0 143
4 10 149
5 4 147
6 0 129
7 0 143
8 40 138
9 39 148
10 34 146
11 43 159
12 5 140
13 0 137
14 45 143
15 48 146
16 47 138
17 47 149
18 21 145
19 0 141
20 43 156
21 39 144
22 43 139
23 19 147
24 0 148
25 0 143
26 39 159
27 40 136
28 43 128
29 27 158
30 0 147
31 0 140
32 17 134
33 31 126
34 28 126
35 17 151
36 0 144
37 0 130
38 7 138
39 0 142
40 12 137
41 9 136
42 0 116
43 0 114
44 18 126
45 35 117
46 27 110
47 34 115
48 6 110
49 0 105
50 15 124
51 37 119
52 33 110
53 31 109
54 2 99
55 0 115
56 18 130
57 29 129
58 35 118
59 7 119
60 0 95
61 0 98
62 34 132
63 33 119
64 32 119
65 22 121
66 0 98
67 0 122
68 17 129
69 29 133
70 32 142
71 16 133
72 0 128
73 0 114
74 4 131
75 14 143
76 0 140
77 31 144
78 10 137
79 0 120
80 12 116
81 33 121
82 14 117
83 34 132
84 19 129
85 0 100
86 12 123
87 40 120
88 37 113
89 31 117
90 6 108
91 0 101
92 16 130
93 33 129
94 29 115
95 13 119
96 0 113
97 0 106
98 26 129
99 38 123
100 29 115
101 31 121
102 0 120
103 0 132
104 22 135
105 28 135
106 29 132
107 0 136
108 0 126
109 0 118
110 5 123
111 13 134
112 0 139
113 6 140
114 2 142
115 0 130
116 11 124
117 33 137
118 14 139
119 30 141
120 33 146
121 0 124
122 14 123
123 45 139
124 41 123
125 35 131
126 24 140
127 0 138
128 18 127
129 37 133
130 33 120
131 18 136
132 0 141
133 0 150
134 23 126
135 39 126
136 24 127
137 25 135
138 0 143
139 0 142
140 18 138
141 27 117
142 22 121
143 9 127
144 0 133
145 0 143
146 9 122
147 5 135
148 0 131
149 0 140
150 0 135
151 0 147
152 19 135
153 33 147
154 32 140
155 24 158
156 18 150
157 0 144
158 21 138
159 47 149
160 34 138
161 39 151
162 31 146
163 0 140
164 21 139
165 28 158
166 27 128
167 20 140
168 7 147
169 0 138
170 18 140
171 29 148
172 26 126
173 28 139
174 0 144
175 0 126
176 13 128
177 21 138
178 25 129
179 30 149
180 0 140
181 0 130
182 5 136
183 3 141
184 0 130
185 0 128
186 0 117
187 0 99
188 9 119
189 34 122
190 25 116
191 27 128
192 5 102
193 0 97
194 21 124
195 38 123
196 30 115
197 28 119
198 5 121
199 0 113
200 15 124
201 21 127
202 24 117
203 12 109
204 1 120
205 0 89
206 18 137
207 23 129
208 33 115
209 23 131
210 0 120
211 0 110
212 15 125
213 30 139
214 26 138
215 26 144
216 0 135
217 0 133
218 6 136
219 2 134
220 0 133
221 0 138
222 0 142
223 0 121
224 12 113
225 30 117
226 9 110
227 24 106
228 14 102
229 0 114
230 19 119
231 34 122
232 30 107
233 33 114
234 8 107
235 0 108
236 15 128
237 20 130
238 24 113
239 13 105
240 0 104
241 0 115
242 19 131
243 25 139
244 27 122
245 22 134
246 0 119
247 0 131
248 16 143
249 32 143
250 27 144
251 20 138
252 0 117
253 0 136
254 5 120
255 2 124
256 0 131
257 0 136
258 0 151
259 0 145
260 22 132
261 33 134
262 19 131
263 18 140
264 7 162
265 0 135
266 33 136
267 40 137
268 41 129
269 45 144
270 29 147
271 0 133
272 24 130
273 30 125
274 36 130
275 22 135
276 0 130
277 0 142
278 31 135
279 29 119
280 28 122
281 27 118
282 0 123
283 0 134
284 21 138
285 23 121
286 23 122
287 18 124
288 0 125
